,IATA,ICAO,Airport name,Location served,Time,DST
2501,GDP,SNGD,Guadalupe Airport,"Guadalupe, Piauí, Brazil",UTC−03:00,
2502,GDQ,HAGN,Gondar Airport (Atse Tewodros Airport),"Gondar, Ethiopia",UTC+03:00,
2503,GDT,MBGT,JAGS McCartney International Airport (Grand Turk Int'l),"Grand Turk Island, British Overseas Territory
of Turks and Caicos Islands",UTC−04:00,
2504,GDV,KGDV,Dawson Community Airport,"Glendive, Montana, United States",UTC−07:00,Mar-Nov
2505,GDW,KGDW,Gladwin Zettel Memorial Airport,"Gladwin, Michigan, United States",UTC−05:00,Mar-Nov
2506,GDX,UHMM,Sokol Airport,"Magadan, Magadan Oblast, Russia",UTC+11:00,
2507,GDZ,URKG,Gelendzhik Airport,"Gelendzhik, Krasnodar Krai, Russia",UTC+03:00,
2508,GEA,NWWM,Nouméa Magenta Airport,"Nouméa, New Caledonia",UTC+11:00,
2509,GEB,WAMJ,Gebe Airport,"Gebe, Indonesia",UTC+09:00,
2510,GEC,,Geçitkale Air Base,"Geçitkale, Northern Cyprus",UTC+03:00,
2511,GED,KGED,Delaware Coastal Airport,"Georgetown, Delaware, United States",UTC−05:00,Mar-Nov
2512,GEE,YGTO,George Town Aerodrome,"George Town, Tasmania, Australia",UTC+10:00,Oct-Apr
2513,GEF,AGEV,Geva Airport,"Liangai, Vella Lavella, Solomon Islands",UTC+11:00,
2514,GEG,KGEG,Spokane International Airport,"Spokane, Washington, United States",UTC−08:00,Mar-Nov
2515,GEL,SBNM,Sepé Tiaraju Airport,"Santo Ângelo, Rio Grande do Sul, Brazil",UTC−03:00,Oct-Feb
2516,GEM,FGMY,President Obiang Nguema International Airport[2],"Mengomeyén, Equatorial Guinea",UTC+01:00,
2517,GEO,SYCJ,Cheddi Jagan International Airport,"Georgetown, Guyana",UTC−04:00,
2518,GER,MUNG,Rafael Cabrera Mustelier Airport,"Nueva Gerona, Cuba",UTC−05:00,Mar-Nov
2519,GES,RPMR,General Santos International Airport (Tambler Airport),"General Santos, Philippines",UTC+08:00,
2520,GET,YGEL,Geraldton Airport,"Geraldton, Western Australia, Australia",UTC+08:00,
2521,GEV,ESNG,Gällivare Airport,"Gällivare, Sweden",UTC+01:00,Mar-Oct
2522,GEW,AYGC,Gewoia Airport,"Gewoia, Papua New Guinea",UTC+10:00,
2523,GEX,YGLG,Geelong Airport,"Geelong, Victoria, Australia",UTC+10:00,Oct-Apr
2524,GEY,KGEY,South Big Horn County Airport,"Greybull, Wyoming, United States",UTC−07:00,Mar-Nov
2525,GFD,KGFD,Pope Field,"Greenfield, Indiana, United States",UTC−05:00,Mar-Nov
2526,GFE,,Grenfell Airport[2],"Grenfell, New South Wales, Australia",UTC+10:00,Oct-Apr
2527,GFF,YGTH,Griffith Airport,"Griffith, New South Wales, Australia",UTC+10:00,Oct-Apr
2528,GFK,KGFK,Grand Forks International Airport,"Grand Forks, North Dakota, United States",UTC−06:00,Mar-Nov
2529,GFL,KGFL,Floyd Bennett Memorial Airport,"Glens Falls, New York, United States",UTC−05:00,Mar-Nov
2530,GFN,YGFN,Clarence Valley Regional Airport,"Grafton, New South Wales, Australia",UTC+10:00,Oct-Apr
2531,GFO,SYBT,Bartica Airport,"Bartica, Guyana",UTC−04:00,
2532,GFR,LFRF,Granville–Mont-Saint-Michel Aerodrome (fr),"Granville, Lower Normandy, France",UTC+01:00,Mar-Oct
2533,GFY,FYGF,Grootfontein Air Base,"Grootfontein, Namibia",UTC+01:00,Sep-Apr
2534,GGC,,Lumbala N'guimbo Airport,"Lumbala N'guimbo, Angola",UTC+01:00,
2535,GGD,YGDS,Gregory Downs Airport,"Gregory Downs, Queensland, Australia",UTC+10:00,
2536,GGE,KGGE,Georgetown County Airport,"Georgetown, South Carolina, United States",UTC−05:00,Mar-Nov
2537,GGG,KGGG,East Texas Regional Airport,"Longview, Texas, United States",UTC−06:00,Mar-Nov
2538,GGL,,Gilgal Airport[2],"Gilgal, Colombia",UTC−05:00,
2539,GGM,HKKG,Kakamega Airport[2],"Kakamega, Kenya",UTC+03:00,
2540,GGN,DIGA,Gagnoa Airport,"Gagnoa, Ivory Coast",UTC±00:00,
2541,GGO,DIGL,Guiglo Airport,"Guiglo, Ivory Coast",UTC±00:00,
2542,GGR,,Garowe International Airport,"Garowe, Somalia",UTC+03:00,
2543,GGS,SAWR,Gobernador Gregores Airport,"Gobernador Gregores, Santa Cruz, Argentina",UTC−03:00,
2544,GGT,MYEF,Exuma International Airport,"Moss Town, Great Exuma Island, Bahamas",UTC−05:00,Mar-Nov
2545,GGW,KGGW,Glasgow Airport (Wokal Field),"Glasgow, Montana, United States",UTC−07:00,Mar-Nov
2546,GHA,DAUG,Noumérat – Moufdi Zakaria Airport,"Ghardaïa, Algeria",UTC+01:00,
2547,GHB,MYEM,Governor's Harbour Airport,"Governor's Harbour, Eleuthera Island, Bahamas",UTC−05:00,Mar-Nov
2548,GHC,MYBG,Great Harbour Cay Airport,"Great Harbour Cay, Berry Islands, Bahamas",UTC−05:00,Mar-Nov
2549,GHE,,Garachiné Airport,"Garachiné, Panama",UTC−05:00,
2550,GHF,ETEU,Giebelstadt Airport,"Giebelstadt, Bavaria, Germany",UTC+01:00,Mar-Oct
2551,GHK,,Gahcho Kue Aerodrome[2] (TC: CGK2),"Kennedy Lake, Northwest Territories, Canada",UTC−07:00,Mar-Nov
2552,GHM,KGHM,Centerville Municipal Airport,"Centerville, Tennessee, United States",UTC−06:00,Mar-Nov
2553,GHN,ZUGH,Guanghan Airport,"Guanghan, Sichuan, China",UTC+08:00,
2554,GHT,HLGT,Ghat Airport,"Ghat, Libya",UTC+02:00,
2555,GHU,SAAG,Gualeguaychú Airport,"Gualeguaychú, Entre Ríos, Argentina",UTC−03:00,
2556,GIB,LXGB,Gibraltar International Airport (North Front Airport),British Overseas Territory of Gibraltar,UTC+01:00,Mar-Oct
2557,GIC,YBOI,Boigu Island Airport,"Boigu Island, Queensland, Australia",UTC+10:00,
2558,GID,HBBE,Gitega Airport,"Gitega, Burundi",UTC+02:00,
