,IATA,ICAO,Airport name,Location served,Time,DST
8093,WAN,,Waverney Airport[1],"Waverney, Queensland, Australia",-,-
8094,WAO,AYWB,Wabo Airport[1],"Wabo, Papua New Guinea",-,-
8095,WAP,SCAP,Alto Palena Airfield[1],"Palena, Chile",-,-
8096,WAQ,FMMG,Antsalova Airport[1],"Antsalova, Madagascar",-,-
8097,WAR,WAJR,Waris Airport[1],"Waris, Indonesia",-,-
8098,WAS[1],,metropolitan area1,"Washington, D.C., United States",-,-
8099,WAT,EIWF,Waterford Airport,"Waterford, Ireland",-,-
8100,WAU,,Wauchope Airport[1],"Wauchope, New South Wales, Australia",-,-
8101,WAV,YWAV,Wave Hill Airport[1],"Kalkarindji (Wave Hill), Northern Territory, Australia",-,-
8102,WAW,EPWA,Warsaw Chopin Airport,"Warsaw, Poland",-,-
8103,WAX,HLZW,Zuwarah Airport[1],"Zuwarah (Zuara), Libya",-,-
8104,WAY,KWAY,Greene County Airport,"Waynesburg, Pennsylvania, United States",-,-
8105,WAZ,YWCK,Warwick Airport[1],"Warwick, Queensland, Australia",-,-
8106,WBA,WAPV,Wahai Airport[1],"Seram Island, Indonesia",-,-
8107,WBB,,Stebbins Airport,"Stebbins, Alaska, United States",-,-
8108,WBC,,Wapolu Airport[1],"Wapolu, Papua New Guinea",-,-
8109,WBD,FMNF,Befandriana Airport[1],"Befandriana-Avaratra, Madagascar",-,-
8110,WBE,,Ankaizina Airport[1],"Bealanana, Madagascar",-,-
8111,WBG,ETNS,Schleswig Air Base,"Schleswig, Schleswig-Holstein, Germany",-,-
8112,WBK,,West Branch Community Airport[1] (FAA: Y31),"West Branch, Michigan, United States",-,-
8113,WBM,AYWD,Wapenamanda Airport[1],"Wapenamanda, Papua New Guinea",-,-
8114,WBO,FMSB,Antsoa Airport[1],"Beroroha, Madagascar",-,-
8115,WBQ,PAWB,Beaver Airport,"Beaver, Alaska, United States",-,-
8116,WBR,KRQB,Roben–Hood Airport (FAA: RQB),"Big Rapids, Michigan, United States",-,-
8117,WBU,KBDU,Boulder Municipal Airport (FAA: BDU),"Boulder, Colorado, United States",-,-
8118,WBW,KWBW,Wilkes-Barre Wyoming Valley Airport,"Wilkes-Barre, Pennsylvania, United States",-,-
8119,WCA,SCST,Gamboa Airport,"Castro, Chile",-,-
8120,WCH,SCTN,Chaitén Airfield,"Chaitén, Chile",-,-
8121,WCR,PALR,Chandalar Lake Airport,"Chandalar Lake, Alaska, United States",-,-
8122,WDA,,Wadi Ain Airport,"Wadi Ain, Yemen",-,-
8123,WDG,KWDG,Enid Woodring Regional Airport,"Enid, Oklahoma, United States",-,-
8124,WDH,FYWH,Hosea Kutako International Airport,"Windhoek, Namibia",-,-
8125,WDI,YWND,Wondai Airport[1],"Wondai, Queensland, Australia",-,-
8126,WDN,,Waldronaire Airport[1] (FAA: 90WA),"Waldron Island, Washington, United States",-,-
8127,WDR,KWDR,Barrow County Airport,"Winder, Georgia, United States",-,-
8128,WDS,ZHSY,Shiyan Wudangshan Airport,"Shiyan, Hubei, China",-,-
8129,WEA,KWEA,Parker County Airport,"Weatherford, Texas, United States",-,-
8130,WED,,Wedau Airport[1],"Wedau, Papua New Guinea",-,-
8131,WEF,ZSWF,Weifang Airport,"Weifang, Shandong, China",-,-
8132,WEH,ZSWH,Weihai Dashuibo Airport,"Weihai, Shandong, China",-,-
8133,WEI,YBWP,Weipa Airport,"Weipa, Queensland, Australia",-,-
8134,WEL,FAWM,Welkom Airport[1],"Welkom, South Africa",-,-
8135,WEP,,Weam Airport[1],"Weam, Papua New Guinea",-,-
8136,WET,WABG,Waghete Airport[1],"Waghete, Indonesia",-,-
8137,WEW,YWWA,Wee Waa Airport[1],"Wee Waa, New South Wales, Australia",-,-
8138,WFB,,Ketchikan Harbor Seaplane Base (FAA: 5KE),"Ketchikan, Alaska, United States",-,-
8139,WFD,EGCD,Woodford Aerodrome[1],"Woodford, England, United Kingdom",-,-
8140,WFI,FMSF,Fianarantsoa Airport,"Fianarantsoa, Madagascar",-,-
8141,WFK,KFVE,Northern Aroostook Regional Airport (FAA: FVE),"Frenchville, Maine, United States",-,-
8142,WGA,YSWG,Wagga Wagga Airport,"Wagga Wagga, New South Wales, Australia",-,-
8143,WGC,VOWA,Warangal Airport[1],"Warangal, Telangana, India",-,-
8144,WGE,YWLG,Walgett Airport[1],"Walgett, New South Wales, Australia",-,-
8145,WGN,ZGSY,Shaoyang Wugang Airport,"Shaoyang, Hunan, China",-,-
8146,WGO,KOKV,Winchester Regional Airport (FAA: OKV),"Winchester, Virginia, United States",-,-
8147,WGP,WADW,Mau Hau Airport (Umbu Mehang Kunda Airport),"Waingapu, Indonesia",-,-
8148,WGT,YWGT,Wangaratta Airport,"Wangaratta, Victoria, Australia",-,-
8149,WGU,,Wagau Airport[1],"Wagau, Papua New Guinea",-,-
8150,WGY,,Wagny Airport[1],"Wagny, Gabon",-,-
8151,WHD,,Hyder Seaplane Base (FAA: 4Z7),"Hyder, Alaska, United States",-,-
8152,WHF,HSSW,Wadi Halfa Airport,"Wadi Halfa, Sudan",-,-
8153,WHK,NZWK,Whakatane Airport,"Whakatane, New Zealand",-,-
8154,WHL,,Welshpool Airport[1],"Welshpool, Victoria, Australia",-,-
8155,WHO,,Franz Josef Glacier Aerodrome[1],"Franz Josef Glacier, New Zealand",-,-
8156,WHP,KWHP,Whiteman Airport,"Los Angeles, California, United States",-,-
8157,WHS,EGEH,Whalsay Airstrip[1],"Whalsay, Scotland, United Kingdom",-,-
8158,WHT,KARM,Wharton Regional Airport (FAA: ARM),"Wharton, Texas, United States",-,-
8159,WHU,ZSWU,Wuhu Airport[1],"Wuhu, Anhui, China",-,-
8160,WIB,,Wilbarger County Airport[1] (FAA: F05),"Vernon, Texas, United States",-,-
8161,WIC,EGPC,Wick Airport,"Wick, Scotland, United Kingdom",-,-
8162,WIE,ETOU,Wiesbaden Army Airfield,"Wiesbaden, Hesse, Germany",-,-
8163,WIK,NZKE,Waiheke Island Aerodrome[1],"Waiheke Island, New Zealand",-,-
8164,WIL,HKNW,Wilson Airport,"Nairobi, Kenya",-,-
8165,WIN,YWTN,Winton Airport[1],"Winton, Queensland, Australia",-,-
8166,WIO,YWCA,Wilcannia Airport[1],"Wilcannia, New South Wales, Australia",-,-
8167,WIR,NZWO,Wairoa Aerodrome[1],"Wairoa, New Zealand",-,-
8168,WIT,YWIT,Wittenoom Airport[1],"Wittenoom, Western Australia, Australia",-,-
8169,WIU,,Witu Airport[1],"Witu, Papua New Guinea",-,-
8170,WJA,,Woja Airport,"Woja, Ailinglaplap Atoll, Marshall Islands",-,-
8171,WJF,KWJF,General William J. Fox Airfield,"Lancaster, California, United States",-,-
8172,WJR,HKWJ,Wajir Airport[1],"Wajir, Kenya",-,-
8173,WJU,RKNW,Wonju Airport,"Wonju, South Korea",-,-
8174,WKA,NZWF,Wanaka Airport,"Wanaka, New Zealand",-,-
8175,WKB,YWKB,Warracknabeal Airport[1],"Warracknabeal, Victoria, Australia",-,-
8176,WKF,FAWK,Air Force Base Waterkloof[1],"Pretoria, South Africa",-,-
8177,WKI,FVWT,Hwange Town Airport[1],"Hwange, Zimbabwe",-,-
8178,WKJ,RJCW,Wakkanai Airport,"Wakkanai, Hokkaido, Japan",-,-
8179,WKK,,Aleknagik Airport (FAA: 5A8),"Aleknagik, Alaska, United States",-,-
8180,WKL,,Waikoloa Heliport (FAA: HI07),"Waikoloa Village, Hawaii, United States",-,-
8181,WKN,,Wakunai Airport,"Wakunai, Papua New Guinea",-,-
8182,WKR,MYAW,Walker's Cay Airport[1],"Walker's Cay, Abaco Islands, Bahamas",-,-
8183,WLA,YWAL,Wallal Airport[1],"Wallal (Wallal Downs), Western Australia, Australia",-,-
8184,WLC,YWCH,Walcha Airport[1],"Walcha, New South Wales, Australia",-,-
8185,WLD,KWLD,Strother Field,"Winfield / Arkansas City, Kansas, United States",-,-
8186,WLE,YMLS,Miles Airport,"Miles, Queensland, Australia",-,-
8187,WLG,NZWN,Wellington International Airport,"Wellington, New Zealand",-,-
8188,WLH,NVSW,Walaha Airport[1],"Walaha, Vanuatu",-,-
8189,WLK,PASK,Selawik Airport,"Selawik, Alaska, United States",-,-
8190,WLL,YWOR,Wollogorang Airport,"Wollogorang Station, Northern Territory, Australia",-,-
8191,WLO,YWTL,Waterloo Airport,"Waterloo, Northern Territory, Australia",-,-
8192,WLP,YANG,West Angelas Airport[1],"West Angelas, Western Australia, Australia",-,-
8193,WLR,,Loring Seaplane Base (FAA: 13Z),"Loring, Alaska, United States",-,-
8194,WLS,NLWW,Hihifo Airport,"Wallis Island, Wallis and Futuna",-,-
8195,WLW,KWLW,Willows-Glenn County Airport,"Willows, California, United States",-,-
8196,WMA,FMNX,Mandritsara Airport,"Mandritsara, Madagascar",-,-
8197,WMB,YWBL,Warrnambool Airport,"Warrnambool, Victoria, Australia",-,-
8198,WMC,KWMC,Winnemucca Municipal Airport,"Winnemucca, Nevada, United States",-,-
8199,WMD,FMSC,Mandabe Airport[1],"Mandabe, Madagascar",-,-
8200,WME,YMNE,Mount Keith Airport,"Mount Keith, Western Australia, Australia",-,-
8201,WMH,KBPK,Ozark Regional Airport (FAA: BPK),"Mountain Home, Arkansas, United States",-,-
8202,WMI,EPMO,Warsaw Modlin Airport,"Warsaw, Poland",-,-
8203,WMK,,Meyers Chuck Seaplane Base (FAA: 84K),"Meyers Chuck, Alaska, United States",-,-
8204,WML,FMMC,Malaimbandy Airport,"Malaimbandy, Madagascar",-,-
8205,WMN,FMNR,Maroantsetra Airport[1],"Maroantsetra, Madagascar",-,-
8206,WMO,PAWM,White Mountain Airport,"White Mountain, Alaska, United States",-,-
8207,WMP,FMNP,Mampikony Airport[1],"Mampikony, Madagascar",-,-
8208,WMR,FMNC,Mananara Nord Airport[1],"Mananara Nord (Mananara Avaratra), Madagascar",-,-
8209,WMV,,Madirovalo Airport[1],"Madirovalo, Madagascar",-,-
8210,WMX,WAVV,Wamena Airport[1],"Wamena, Indonesia",-,-
8211,WNA,PANA,Napakiak Airport,"Napakiak, Alaska, United States",-,-
8212,WND,,Windarra Airport[1],"Windarra, Western Australia, Australia",-,-
8213,WNE,,Wora na Yeno Airport[1],"Wora na Yeno, Gabon",-,-
8214,WNH,ZPWS,Wenshan Puzhehei Airport,"Wenshan, Yunnan, China",-,-
8215,WNN,,Wunnummin Lake Airport[1] (TC: CKL3),"Wunnumin Lake, Ontario, Canada",-,-
8216,WNP,RPUN,Naga Airport,"Naga, Philippines",-,-
8217,WNR,YWDH,Windorah Airport[1],"Windorah, Queensland, Australia",-,-
8218,WNS,OPNH,Nawabshah Airport[1],"Nawabshah (Shaheed Benazirabad), Pakistan",-,-
8219,WNU,,Wanuma Airport[1],"Wanuma, Papua New Guinea",-,-
8220,WNZ,ZSWZ,Wenzhou Longwan International Airport,"Wenzhou, Zhejiang, China",-,-
8221,WOA,,Wonenara Airport[1],"Wonenara, Papua New Guinea",-,-
8222,WOE,EHWO,Woensdrecht Air Base,"Bergen op Zoom, Netherlands",-,-
8223,WOK,SVUQ,Uonquén Airport[1],"Uonquén, Venezuela",-,-
8224,WOL,YWOL,Illawarra Regional Airport,"Wollongong, New South Wales, Australia",-,-
8225,WON,YWDL,Wondoola Airport[1],"Wondoola, Queensland, Australia",-,-
8226,WOR,,Moramba Airport[1],"Ankorefo, Madagascar",-,-
8227,WOS,ZKWS,Wonsan Kalma International Airport[1],"Wonsan, North Korea",-,-
8228,WOT,RCWA,Wang-an Airport,"Wang'an, Taiwan",-,-
8229,WOW,PAUO,Willow Airport (FAA: UUO),"Willow, Alaska, United States",-,-
8230,WPA,SCAS,Cabo Juan Román Airfield,"Puerto Aisén, Chile",-,-
8231,WPB,FMNG,Port Bergé Airport,"Boriziny (Port Bergé), Madagascar",-,-
8232,WPC,CZPC,Pincher Creek Airport,"Pincher Creek, Alberta, Canada",-,-
8233,WPK,YWMP,Wrotham Park Airport[1],"Wrotham Park, Queensland, Australia",-,-
8234,WPL,,Powell Lake Water Aerodrome[1] (TC: CAQ8),"Powell River, British Columbia, Canada",-,-
8235,WPM,AYXP,Wipim Airport[1],"Wipim, Papua New Guinea",-,-
8236,WPO,,North Fork Valley Airport (FAA: 7V2),"Paonia, Colorado, United States",-,-
8237,WPR,SCFM,Capitán Fuentes Martínez Airport[1],"Porvenir, Chile",-,-
8238,WPU,SCGZ,Guardiamarina Zañartu Airport[1],"Puerto Williams, Chile",-,-
8239,WRA,HAWR,Warder Airport[1],"Werder (Warder), Ethiopia",-,-
8240,WRB,KWRB,Robins Air Force Base,"Warner Robins, Georgia, United States",-,-
8241,WRE,NZWR,Whangarei Airport,"Whangarei, New Zealand",-,-
8242,WRG,PAWG,Wrangell Airport,"Wrangell, Alaska, United States",-,-
8243,WRI,KWRI,McGuire Air Force Base,"Wrightstown, New Jersey, United States",-,-
8244,WRL,KWRL,Worland Municipal Airport,"Worland, Wyoming, United States",-,-
8245,WRN,YWDG,Windarling Airport,"Windarling, Western Australia, Australia",-,-
8246,WRO,EPWR,Copernicus Airport Wrocław,"Wrocław, Poland",-,-
8247,WRT,EGNO,Warton Aerodrome,"Warton, England, United Kingdom",-,-
8248,WRW,YWWG,Warrawagine Airport[1],"Warrawagine Station, Western Australia, Australia",-,-
8249,WRY,EGEW,Westray Airport[1],"Westray, Scotland, United Kingdom",-,-
8250,WRZ,VCCW,Weerawila Airport,"Weerawila, Sri Lanka",-,-
8251,WSA,,Wasua Airport[1],"Wasua, Papua New Guinea",-,-
8252,WSB,,Steamboat Bay Seaplane Base[1],"Steamboat Bay, Alaska, United States",-,-
8253,WSD,KWSD,Condron Army Airfield,"White Sands, New Mexico, United States",-,-
8254,WSF,PACS,Cape Sarichef Airport[1] (FAA: 26AK),"Cape Sarichef, Alaska, United States",-,-
8255,WSG,KAFJ,Washington County Airport (FAA: AFJ),"Washington, Pennsylvania, United States",-,-
8256,WSH,KHWV,Brookhaven Airport (FAA: HWV),"Shirley, New York, United States",-,-
8257,WSM,,Wiseman Airport,"Wiseman, Alaska, United States",-,-
8258,WSN,PFWS,South Naknek Airport,"South Naknek, Alaska, United States",-,-
8259,WSO,SMWS,Washabo Airport,"Washabo (Wasjabo), Suriname",-,-
8260,WSP,MNWP,Waspam Airport,"Waspam, Nicaragua",-,-
8261,WSR,WASW,Wasior Airport[1],"Wasior, Indonesia",-,-
8262,WST,KWST,Westerly State Airport,"Westerly, Rhode Island, United States",-,-
8263,WSU,,Wasu Airport[1],"Wasu, Papua New Guinea",-,-
8264,WSX,,Westsound Seaplane Base[1] (FAA: WA83),"West Sound, Washington, United States",-,-
8265,WSY,YSHR[2][3],Whitsunday Airport,"Airlie Beach / Shute Harbour, Queensland, Australia",-,-
8266,WSZ,NZWS,Westport Airport,"Westport, New Zealand",-,-
8267,WTA,FMMU,Tambohorano Airport,"Tambohorano, Madagascar",-,-
8268,WTB,YBWW,Toowoomba Wellcamp Airport,"Toowoomba, Queensland, Australia",-,-
8269,WTD,MYGW,West End Airport,"West End, Grand Bahama, Bahamas",-,-
8270,WTE,,Wotje Airport (FAA: N36),"Wotje Atoll, Marshall Islands",-,-
8271,WTK,PAWN,Noatak Airport,"Noatak, Alaska, United States",-,-
8272,WTL,,Tuntutuliak Airport (FAA: A61),"Tuntutuliak, Alaska, United States",-,-
8273,WTN,EGXW,RAF Waddington[1],"Waddington, England, United Kingdom",-,-
8274,WTO,,Wotho Airport,"Wotho Atoll, Marshall Islands",-,-
8275,WTP,AYWT,Woitape Airport[1],"Woitape, Papua New Guinea",-,-
8276,WTR,,Whiteriver Airport (FAA: E24),"Whiteriver, Arizona, United States",-,-
8277,WTS,FMMX,Tsiroanomandidy Airport,"Tsiroanomandidy, Madagascar",-,-
8278,WTT,,Wantoat Airport[1],"Wantoat, Papua New Guinea",-,-
8279,WTZ,NZWT,Whitianga Aerodrome[1],"Whitianga, New Zealand",-,-
8280,WUA,ZBUH,Wuhai Airport,"Wuhai, Inner Mongolia, China",-,-
8281,WUD,YWUD,Wudinna Airport[1],"Wudinna, South Australia, Australia",-,-
8282,WUG,AYWU,Wau Airport[1],"Wau, Papua New Guinea",-,-
8283,WUH,ZHHH,Wuhan Tianhe International Airport,"Wuhan, Hubei, China",-,-
8284,WUI,YMMI,Murrin Murrin Airport,"Murrin Murrin, Western Australia, Australia",-,-
8285,WUM,,Wasum Airport[1],"Wasum, Papua New Guinea",-,-
8286,WUN,YWLU,Wiluna Airport[1],"Wiluna, Western Australia, Australia",-,-
8287,WUS,ZSWY,Wuyishan Airport,"Wuyishan, Fujian, China",-,-
8288,WUT,ZBXZ,Xinzhou Wutaishan Airport[1],"Xinzhou, Shanxi, China",-,-
8289,WUU,HSWW,Wau Airport,"Wau, South Sudan",-,-
8290,WUV,,Wuvulu Island Airport[1],"Wuvulu Island, Papua New Guinea",-,-
8291,WUX,ZSWX,Sunan Shuofang International Airport,"Wuxi / Suzhou, Jiangsu, China",-,-
8292,WUZ,ZGWZ,Wuzhou Changzhoudao Airport,"Wuzhou, Guangxi, China",-,-
8293,WVB,FYWB,Walvis Bay Airport,"Walvis Bay, Namibia",-,-
8294,WVI,KWVI,Watsonville Municipal Airport,"Watsonville, California, United States",-,-
8295,WVK,FMSK,Manakara Airport[1],"Manakara, Madagascar",-,-
8296,WVL,KWVL,Waterville Robert LaFleur Airport,"Waterville, Maine, United States",-,-
8297,WVN,EDWI,JadeWeserAirport,"Wilhelmshaven, Lower Saxony, Germany",-,-
8298,WWA,PAWS,Wasilla Airport (FAA: IYS),"Wasilla, Alaska, United States",-,-
8299,WWD,KWWD,Cape May Airport,"Wildwood, New Jersey, United States",-,-
8300,WWI,YWWI,Woodie Woodie Airport[1],"Woodie Woodie, Western Australia, Australia",-,-
8301,WWK,AYWK,Wewak Airport[1],"Wewak, Papua New Guinea",-,-
8302,WWP,,North Whale Seaplane Base (FAA: 96Z),"Whale Pass, Alaska, United States",-,-
8303,WWR,KWWR,West Woodward Airport,"Woodward, Oklahoma, United States",-,-
8304,WWT,PAEW,Newtok Airport (FAA: EWU),"Newtok, Alaska, United States",-,-
8305,WWY,YWWL,West Wyalong Airport,"West Wyalong, New South Wales, Australia",-,-
8306,WXN,ZUWX,Wanzhou Wuqiao Airport,"Wanzhou, Chongqing, China",-,-
8307,WYA,YWHA,Whyalla Airport,"Whyalla, South Australia, Australia",-,-
8308,WYB,,Yes Bay Lodge Seaplane Base (FAA: 78K),"Yes Bay, Alaska, United States",-,-
8309,WYE,GFYE,Yengema Airport,"Yengema, Sierra Leone",-,-
8310,WYN,YWYM,Wyndham Airport[1],"Wyndham, Western Australia, Australia",-,-
8311,WYS,KWYS,Yellowstone Airport,"West Yellowstone, Montana, United States",-,-
8312,WZQ,,Urad Middle Banner Airport[1],"Urad Middle Banner, Inner Mongolia, China",-,-
8313,XAL,,Álamos Airport,"Álamos, Sonora, Mexico",-,-
8314,XAP,SBCH,Serafin Enoss Bertaso Airport,"Chapecó, Santa Catarina, Brazil",-,-
8315,XAR,DFOY,Aribinda Airport,"Aribinda, Burkina Faso",-,-
8316,XAU,SOOS,Saül Airport,"Saül, French Guiana",-,-
8317,XBB,,Blubber Bay Seaplane Base,"Blubber Bay, British Columbia, Canada",-,-
8318,XBE,,Bearskin Lake Airport (TC: CNE3),"Bearskin Lake, Ontario, Canada",-,-
8319,XBG,DFEB,Bogande Airport,"Bogandé, Burkina Faso",-,-
8320,XBJ,OIMB,Birjand International Airport,"Birjand, Iran",-,-
8321,XBL,HABB,Bedele Airport (Buno Bedele Airport),"Bedele, Ethiopia",-,-
8322,XBN,,Biniguni Airport,"Biniguni, Papua New Guinea",-,-
8323,XBO,DFEA,Boulsa Airport,"Boulsa, Burkina Faso",-,-
8324,XBR,,Brockville Regional Tackaberry Airport (TC: CNL3),"Brockville, Ontario, Canada",-,-
8325,XCH,YPXM,Christmas Island Airport,"Christmas Island, Australia",-,-
8326,XCL,,Cluff Lake Airport (TC: CJS3),"Cluff Lake, Saskatchewan, Canada",-,-
8327,XCM,CYCK,Chatham-Kent Airport,"Chatham-Kent, Ontario, Canada",-,-
8328,XCN,,Coron Airport,"Coron, Philippines",-,-
8329,XCO,YOLA,Colac Airport,"Colac, Victoria, Australia",-,-
8330,XCR,LFOK,Châlons Vatry Airport,"Châlons-en-Champagne, Champagne-Ardenne, France",-,-
8331,XDE,DFOU,Diébougou Airport,"Diébougou, Burkina Faso",-,-
8332,XDJ,DFCJ,Djibo Airport,"Djibo, Burkina Faso",-,-
8333,XEN,ZYXC,Xingcheng Airport,"Xingcheng, Liaoning, China",-,-
8334,XES,,Grand Geneva Resort Airport (FAA: C02),"Lake Geneva, Wisconsin, United States",-,-
8335,XFN,ZHXF,Xiangyang Liuji Airport,"Xiangyang, Hubei, China",-,-
8336,XFW,EDHI,Hamburg Finkenwerder Airport,"Hamburg, Germany",-,-
8337,XGA,DFOG,Gaoua Airport (Amilcar Cabral Airport),"Gaoua, Burkina Faso",-,-
8338,XGG,DFEG,Gorom Gorom Airport,"Gorom-Gorom, Burkina Faso",-,-
8339,XGL,,Granville Lake Airport,"Granville Lake, Manitoba, Canada",-,-
8340,XGN,FNXA,Xangongo Airport,"Xangongo, Angola",-,-
8341,XGR,CYLU,Kangiqsualujjuaq (Georges River) Airport,"Kangiqsualujjuaq, Quebec, Canada",-,-
8342,XIC,ZUXC,Xichang Qingshan Airport,"Xichang, Sichuan, China",-,-
8343,XIE,,Xienglom Airport[1],"Xienglom, Laos",-,-
8344,XIG,,Xinguara Municipal Airport,"Xinguara, Pará, Brazil",-,-
8345,XIJ,OKAJ,Ahmad al-Jaber Air Base[1],"Al Ahmadi, Kuwait",-,-
8346,XIL,ZBXH,Xilinhot Airport,"Xilinhot, Inner Mongolia, China",-,-
8347,XIN,ZGXN,Xingning Air Base,"Xingning, Guangdong, China",-,-
8348,XIY,ZLXY,Xi'an Xianyang International Airport,"Xi'an, Shaanxi, China",-,-
8349,XJD,OTBH,Al Udeid Air Base[1],"Al Rayyan, Qatar",-,-
8350,XJM,OPMA,Mangla Airport[1],"Mangla, Pakistan",-,-
8351,XKA,DFEL,Kantchari Airport,"Kantchari, Burkina Faso",-,-
8352,XKH,VLXK,Xieng Khouang Airport,"Phonsavan, Laos",-,-
8353,XKS,CYAQ,Kasabonika Airport,"Kasabonika, Ontario, Canada",-,-
8354,XKY,DFCA,Kaya Airport,"Kaya, Burkina Faso",-,-
8355,XLB,CZWH,Lac Brochet Airport,"Lac Brochet, Manitoba, Canada",-,-
8356,XLO,,Long Xuyen Airport,"Long Xuyên, Vietnam",-,-
8357,XLS,GOSS,Saint-Louis Airport,"Saint-Louis, Senegal",-,-
8358,XLU,DFCL,Leo Airport,"Léo, Burkina Faso",-,-
8359,XLW,EDWD,Lemwerder Airport,"Lemwerder, Lower Saxony, Germany",-,-
8360,XMA,,Maramag Airport,"Maramag, Philippines",-,-
8361,XMC,YMCO,Mallacoota Airport[1],"Mallacoota, Victoria, Australia",-,-
8362,XMD,KMDS,Madison Municipal Airport (FAA: MDS),"Madison, South Dakota, United States",-,-
8363,XMG,VNMN,Mahendranagar Airport,"Bhimdatta (Mahendranagar), Nepal",-,-
8364,XMH,NTGI,Manihi Airport,"Manihi, Tuamotus, French Polynesia",-,-
8365,XMI,HTMI,Masasi Airport,"Masasi, Tanzania",-,-
8366,XML,YMIN,Minlaton Airport,"Minlaton, South Australia, Australia",-,-
8367,XMN,ZSAM,Xiamen Gaoqi International Airport,"Xiamen, Fujian, China",-,-
8368,XMP,,Macmillan Pass Airport[1] (TC: CFC4),"Macmillan Pass, Yukon, Canada",-,-
8369,XMS,SEMC,Edmundo Carvajal Airport,"Macas, Ecuador",-,-
8370,XMY,YYMI,Yam Island Airport,"Yam Island, Queensland, Australia",-,-
8371,XNA,KXNA,Northwest Arkansas Regional Airport,"Fayetteville / Springdale, Arkansas, United States",-,-
8372,XNG,,Quang Ngai Airport[1],"Quang Ngai (Quảng Ngãi), Vietnam",-,-
8373,XNN,ZLXN,Xining Caojiabao Airport,"Xining, Qinghai, China",-,-
8374,XNT,ZBXT,Xingtai Dalian Airport,"Xingtai, Hebei, China",-,-
8375,XNU,DFON,Nouna Airport,"Nouna, Burkina Faso",-,-
8376,XPA,DFEP,Pama Airport,"Pama, Burkina Faso",-,-
8377,XPK,CZFG,Pukatawagan Airport,"Pukatawagan, Manitoba, Canada",-,-
8378,XPL,MHSC,Soto Cano Air Base,"Comayagua, Honduras",-,-
8379,XPP,CZNG,Poplar River Airport,"Poplar River, Manitoba, Canada",-,-
8380,XPR,KIEN,Pine Ridge Airport (FAA: IEN),"Pine Ridge, South Dakota, United States",-,-
8381,XQP,MRQP,Quepos La Managua Airport,"Quepos, Costa Rica",-,-
8382,XQU,,Qualicum Beach Airport (TC: CAT4),"Qualicum Beach, British Columbia, Canada",-,-
8383,XRH,YSRI,RAAF Base Richmond[1],"Richmond, New South Wales, Australia",-,-
8384,XRR,CYDM,Ross River Airport,"Ross River, Yukon, Canada",-,-
8385,XRY,LEJR,Jerez Airport (La Parra Airport),"Jerez de la Frontera, Andalusia, Spain",-,-
8386,XSB,OMBY,Sir Bani Yas Airport[1],"Sir Bani Yas, United Arab Emirates",-,-
8387,XSC,MBSC,South Caicos Airport,"South Caicos, British Overseas Territory of Turks and Caicos Islands",-,-
8388,XSD,KTNX,Tonopah Test Range Airport (FAA: TNX),"Tonopah, Nevada, United States",-,-
8389,XSE,DFES,Sebba Airport,"Sebba, Burkina Faso",-,-
8390,XSI,CZSN,South Indian Lake Airport,"South Indian Lake, Manitoba, Canada",-,-
8391,XSO,RPNO,Siocon Airport,"Siocon, Philippines",-,-
8392,XSP,WSSL,Seletar Airport,Singapore,-,-
8393,XTG,YTGM,Thargomindah Airport,"Thargomindah, Queensland, Australia",-,-
8394,XTL,CYBQ,Tadoule Lake Airport,"Tadoule Lake, Manitoba, Canada",-,-
8395,XTO,YTAM,Taroom Airport,"Taroom, Queensland, Australia",-,-
8396,XTR,YTAA,Tara Airport,"Tara, Queensland, Australia",-,-
8397,XUZ,ZSXZ,Xuzhou Guanyin Airport,"Xuzhou, Jiangsu, China",-,-
8398,XVL,,Vinh Long Airport,"Vinh Long (Vĩnh Long), Vietnam",-,-
8399,XYA,AGGY,Yandina Airport,"Yandina, Solomon Islands",-,-
8400,XYE,VYYE,Ye Airport,"Ye, Myanmar",-,-
8401,XYR,AYED,Edwaki Airport[1],"Yellow River, Papua New Guinea",-,-
8402,XZA,DFEZ,Zabré Airport,"Zabré, Burkina Faso",-,-
8403,YAA,,Anahim Lake Airport (TC: CAJ4),"Anahim Lake, British Columbia, Canada",-,-
8404,YAB,CYAB,Arctic Bay Airport (TC: CJX7),"Arctic Bay, Nunavut, Canada",-,-
8405,YAC,CYAC,Cat Lake Airport,"Cat Lake, Ontario, Canada",-,-
8406,YAD,,Moose Lake Airport (TC: CJB4),"Moose Lake, Manitoba, Canada",-,-
8407,YAG,CYAG,Fort Frances Municipal Airport,"Fort Frances, Ontario, Canada",-,-
8408,YAH,CYAH,La Grande-4 Airport,"La Grande-4, Quebec, Canada",-,-
8409,YAI,SCCH,General Bernardo O'Higgins Airport,"Chillán, Chile",-,-
8410,YAJ,,Lyall Harbour Seaplane Base,"Saturna Island, British Columbia, Canada",-,-
8411,YAK,PAYA,Yakutat Airport,"Yakutat, Alaska, United States",-,-
8412,YAL,CYAL,Alert Bay Airport,"Alert Bay, British Columbia, Canada",-,-
8413,YAM,CYAM,Sault Ste. Marie Airport,"Sault Ste. Marie, Ontario, Canada",-,-
8414,YAN,FZIR,Yangambi Airport,"Yangambi, Democratic Republic of the Congo",-,-
8415,YAO,FKKY,Yaoundé Airport,"Yaoundé, Cameroon",-,-
